,PLAYER_NAME,TEAM_ABBREVIATION,NPTwAO/G,PGen/G,IOEwAO,Eff_Factor,Pos_Weight,Score
173,George Hill,MIL,13.26,18.025596679349707,1.3875974689233763,1.276153806991589,0.7750520245818535,31.048399118101234
174,Georges Niang,UTA,6.64,7.797385620915032,1.1924818124487722,1.0967086916823747,0.526246514139675,5.004923768743526
175,Giannis Antetokounmpo,MIL,37.82,45.95704948646125,1.2253864622928516,1.1269706337128886,0.9858088713243222,73.65712528932038
176,Glenn Robinson III,PHI,13.06,16.541027247103035,1.277394859897848,1.1748020229201959,0.7699328533540022,20.798045052083143
177,Goga Bitadze,IND,3.79,4.3086419753086425,1.143212788259958,1.051396665541177,0.34715393149889484,1.6123728544411708
178,Goran Dragic,MIA,27.65,31.404734073641144,1.169569831808834,1.075636866477864,0.9554395617364866,38.942727024265054
179,Gordon Hayward,BOS,24.15,28.998859191655804,1.2241765529843334,1.1258578971990507,0.9339354455940352,41.37613862979955
180,Gorgui Dieng,MEM,8.82,10.705695611577966,1.2410916081433312,1.1414144346820547,0.6292919835669243,9.420403353061852
181,Grant Williams,BOS,5.03,6.142381511946728,1.2437619565803626,1.1438703164490889,0.43216627269549346,3.446719340868374
182,Grayson Allen,MEM,10.65,12.789473684210524,1.2095569935291188,1.1124124947151535,0.6982735088065166,11.893298222736266
183,Hamidou Diallo,OKC,8.62,9.265569917743832,1.077065137511918,0.9905616047860158,0.6208557315485166,5.632965754669625
184,Harrison Barnes,SAC,17.27,20.662734270414997,1.2031871663673328,1.1065542545810758,0.8567340075593534,24.444021190028007
185,Harry Giles III,SAC,8.16,10.11220196353436,1.2452117205337312,1.145203643894379,0.6007165720542658,8.50007211254805
186,Hassan Whiteside,POR,12.41,18.975417032484643,1.5426045199675675,1.4187116039974204,0.7524771549467215,48.964146706729174
187,Henry Ellenson,BKN,1.4,1.0,0.7142857142857143,0.6569184896774672,0.1457354640152636,0.1457354640152636
188,Ian Mahinmi,WAS,8.44,10.739422084623325,1.2804280848885738,1.1775916371318593,0.6130990813724649,10.03702867386773
189,Ignas Brazdeikis,NYK,3.13,2.888888888888889,0.9219858156028368,0.8479373412858087,0.29683037701701287,0.7297586071235858
